# ----------------------------------------
# All Web Site Data
# Pages
# 20181001-20220722
# ----------------------------------------

Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"11,514,238","9,260,759",00:01:00,"7,891,418",52.63%,51.03%,US$0.00
/measure/,"8,147,098","6,436,545",00:06:38,"3,649,161",36.08%,60.55%,US$0.00
/vitals/,"4,354,479","3,678,632",00:02:20,"3,256,198",71.09%,67.72%,US$0.00
/performance-scoring/,"3,399,167","2,982,004",00:02:30,"2,663,257",75.19%,71.71%,US$0.00
/progressive-web-apps/,"3,099,532","2,433,351",00:01:09,"1,952,727",50.69%,47.46%,US$0.00
/learn/,"2,086,981","1,582,654",00:00:39,"492,973",61.01%,27.41%,US$0.00
/samesite-cookies-explained/,"2,016,653","1,674,365",00:03:32,"1,631,076",77.52%,77.20%,US$0.00
/render-blocking-resources/,"1,879,763","1,582,597",00:04:29,"1,002,263",61.27%,53.13%,US$0.00
/cls/,"1,618,100","1,370,877",00:03:14,"1,077,804",71.02%,67.32%,US$0.00
/live/,"1,476,283","1,135,144",00:01:29,"956,984",69.32%,64.74%,US$0.00
/lcp/,"1,436,430","1,244,712",00:03:14,"726,271",69.26%,60.24%,US$0.00
/time-to-first-byte/,"1,334,494","1,161,380",00:04:34,"905,181",71.09%,66.91%,US$0.00
/font-display/,"1,329,885","1,122,367",00:05:05,"776,695",58.76%,54.15%,US$0.00
/measure,"1,209,375","926,101",00:08:31,"374,698",14.71%,57.69%,US$0.00
/fast/,"1,060,255","825,011",00:01:00,"376,396",52.00%,31.40%,US$0.00
/learn/css/,"1,008,271","789,612",00:01:27,"678,743",54.42%,54.65%,US$0.00
/uses-long-cache-ttl/,"1,007,525","853,751",00:05:31,"609,210",65.88%,61.51%,US$0.00
/uses-webp-images/,"990,337","776,385",00:02:59,"569,073",56.13%,49.44%,US$0.00
/add-manifest/,"981,269","841,662",00:03:33,"648,702",78.88%,70.09%,US$0.00
/first-contentful-paint/,"844,297","736,720",00:02:34,"495,058",55.19%,48.93%,US$0.00
/learn-web-vitals/,"817,819","701,464",00:00:52,"530,640",85.54%,65.69%,US$0.00
/mainthread-work-breakdown/,"778,173","662,580",00:02:47,"407,542",52.88%,46.68%,US$0.00
/cross-origin-resource-sharing/,"777,575","677,664",00:04:23,"653,889",85.68%,83.60%,US$0.00
/blog/,"763,333","620,770",00:00:46,"142,635",63.67%,27.83%,US$0.00
/read-files/,"749,314","627,482",00:03:28,"602,904",81.28%,79.53%,US$0.00
/uses-rel-preload/,"696,042","574,756",00:05:22,"458,992",62.56%,59.66%,US$0.00
/optimize-cls/,"679,518","593,385",00:05:42,"404,845",71.57%,66.07%,US$0.00
/responsive-web-design-basics/,"673,747","563,045",00:03:37,"518,151",78.95%,75.03%,US$0.00
/what-are-pwas/,"670,883","610,046",00:02:32,"172,537",75.67%,52.64%,US$0.00
/promises/,"637,292","552,569",00:02:44,"525,811",83.88%,81.68%,US$0.00
/custom-metrics/,"635,075","569,907",00:02:40,"540,351",86.04%,83.56%,US$0.00
/speed-index/,"634,612","553,335",00:02:28,"345,257",57.83%,49.96%,US$0.00
/uses-responsive-images/,"624,890","529,135",00:03:07,"333,492",54.31%,45.92%,US$0.00
/lighthouse-largest-contentful-paint/,"610,719","539,025",00:02:04,"374,516",47.23%,43.23%,US$0.00
/unused-javascript/,"609,723","501,374",00:04:01,"325,179",64.28%,53.89%,US$0.00
/offscreen-images/,"603,696","499,508",00:02:19,"336,610",44.86%,39.63%,US$0.00
/optimize-lcp/,"574,804","498,570",00:04:08,"312,834",68.32%,59.47%,US$0.00
/interactive/,"573,525","499,772",00:02:27,"306,533",55.16%,47.21%,US$0.00
/customize-install/,"542,817","435,979",00:02:37,"320,576",61.16%,54.70%,US$0.00
/unused-css-rules/,"461,958","392,517",00:03:36,"201,717",61.17%,48.30%,US$0.00
/uses-text-compression/,"454,998","382,641",00:05:15,"282,784",64.63%,59.44%,US$0.00
/browser-level-image-lazy-loading/,"450,257","390,059",00:02:57,"306,785",78.82%,68.61%,US$0.00
/why-https-matters/,"444,680","359,256",00:01:19,"318,698",49.11%,52.79%,US$0.00
/uses-passive-event-listeners/,"431,325","372,151",00:05:09,"274,599",68.47%,63.00%,US$0.00
/variable-fonts/,"426,033","378,899",00:02:44,"357,473",86.11%,82.99%,US$0.00
/doctype/,"416,214","342,896",00:03:23,"322,829",73.97%,72.20%,US$0.00
/web-otp/,"412,602","313,354",00:03:07,"284,058",76.53%,68.35%,US$0.00
/about/,"403,881","340,987",00:00:51,"28,154",63.65%,28.96%,US$0.00
/uses-optimized-images/,"403,834","339,086",00:02:23,"212,488",47.42%,40.87%,US$0.00
/learn,"388,818","315,787",00:01:11,"64,824",30.46%,27.70%,US$0.00
/drag-and-drop/,"366,895","314,038",00:03:37,"302,326",83.64%,80.85%,US$0.00
/user-centric-performance-metrics/,"358,401","285,019",00:02:07,"124,703",66.83%,47.16%,US$0.00
/lighthouse-performance/,"354,564","284,655",00:00:57,"58,211",46.59%,25.35%,US$0.00
/fid/,"354,499","308,146",00:02:31,"155,541",65.69%,48.62%,US$0.00
/defer-non-critical-css/,"342,020","300,245",00:05:20,"124,364",69.97%,57.37%,US$0.00
/rail/,"327,534","286,048",00:03:26,"240,745",79.20%,73.64%,US$0.00
/pwa-checklist/,"320,394","277,730",00:02:01,"152,176",70.34%,53.29%,US$0.00
/fcp/,"296,340","254,812",00:02:22,"149,960",62.46%,49.74%,US$0.00
/http-cache/,"293,970","237,970",00:02:45,"192,782",74.69%,66.82%,US$0.00
/file-system-access/,"284,383","228,985",00:02:54,"171,137",75.90%,63.29%,US$0.00
/external-anchors-use-rel-noopener/,"281,014","243,052",00:04:45,"179,694",70.54%,63.03%,US$0.00
/accessible/,"279,113","225,437",00:01:00,"128,634",59.35%,41.96%,US$0.00
/remove-unused-code/,"275,709","231,914",00:03:27,"103,540",58.40%,48.22%,US$0.00
/dom-size/,"275,550","241,274",00:04:21,"177,476",70.76%,65.05%,US$0.00
/learn/css/box-model/,"275,259","227,000",00:04:00,"72,602",47.17%,48.56%,US$0.00
/user-agent-client-hints/,"270,711","231,971",00:03:07,"211,180",79.70%,74.46%,US$0.00
/secure/,"269,427","196,694",00:00:48,"34,365",47.76%,25.72%,US$0.00
/vitals-tools/,"268,310","218,730",00:02:10,"143,463",56.38%,52.34%,US$0.00
/bootup-time/,"266,898","235,775",00:02:31,"116,903",52.99%,43.31%,US$0.00
/tbt/,"265,027","234,813",00:02:46,"175,772",72.28%,63.00%,US$0.00
/lighthouse-seo/,"258,765","227,272",00:01:08,"190,645",86.68%,73.98%,US$0.00
/content-visibility/,"256,075","208,899",00:02:54,"187,036",73.05%,72.71%,US$0.00
/one-line-layouts/,"245,633","210,233",00:02:23,"183,724",77.12%,73.22%,US$0.00
/install-criteria/,"244,533","215,638",00:01:52,"35,756",60.80%,35.51%,US$0.00
/link-name/,"244,339","205,751",00:04:13,"112,033",48.09%,41.41%,US$0.00
/samesite-cookie-recipes/,"236,891","199,409",00:03:02,"117,422",72.08%,66.84%,US$0.00
/web-share/,"236,547","186,267",00:02:46,"155,542",65.03%,65.06%,US$0.00
/newsletter/,"231,600","195,979",00:01:27,"71,770",63.58%,45.75%,US$0.00
/learn/design/,"231,451","174,787",00:00:58,"74,768",35.26%,32.60%,US$0.00
/uses-rel-preconnect/,"226,993","193,990",00:04:36,"148,700",65.32%,60.47%,US$0.00
/digging-into-the-privacy-sandbox/,"225,578","178,582",00:01:35,"139,408",55.03%,51.64%,US$0.00
/codelab-use-lazysizes-to-lazyload-images/,"221,784","192,801",00:05:31,"36,467",67.69%,57.07%,US$0.00
/fast,"219,710","182,705",00:01:33,"65,540",31.32%,32.65%,US$0.00
/how-to-use-local-https/,"217,352","186,669",00:03:41,"172,965",83.41%,78.85%,US$0.00
/bluetooth/,"215,727","166,296",00:03:15,"146,654",76.67%,67.14%,US$0.00
/lighthouse-total-blocking-time/,"213,556","190,755",00:02:44,"94,338",59.61%,47.22%,US$0.00
/color-contrast/,"210,970","176,549",00:05:19,"107,714",63.99%,54.04%,US$0.00
/apply-instant-loading-with-prpl/,"210,708","186,453",00:02:31,"62,756",66.29%,45.58%,US$0.00
/serve-responsive-images/,"209,231","184,180",00:04:03,"47,898",62.49%,45.21%,US$0.00
/storage-for-the-web/,"206,382","162,965",00:02:24,"137,196",66.73%,61.80%,US$0.00
/total-byte-weight/,"202,425","178,027",00:03:07,"108,229",57.12%,48.57%,US$0.00
/native-lazy-loading/,"198,680","148,967",00:02:35,"131,581",63.61%,66.14%,US$0.00
